player_id,first_name,last_name,dob,dod,country_id,birthplace,height,weight,hand,backhand,active,turned_pro,coach,prize_money,nicknames,name,age,current_rank,current_rank_points,best_rank,best_rank_date,best_rank_points,best_rank_points_date,current_elo_rank,current_elo_rating,best_elo_rank,best_elo_rank_date,best_elo_rating,best_elo_rating_date,goat_rank,goat_points,weeks_at_no1,titles,big_titles,grand_slams,tour_finals,alt_finals,masters,olympics
4913,Andy,Murray,1987-05-15,,GBR,"Dunblane, Scotland",190.0,84.0,R,2,True,2005.0,Jamie Delgado,"US$62,152,513 4th all-time leader in earnings",Muzza,Andy Murray,12975 days,,,1.0,2016-11-07,12685.0,2016-11-21,17.0,2054.0,2.0,2009-04-19,2500.0,2016-11-21,13.0,315.0,41.0,46,20,3,1,0,14,2
5216,Juan Martin,Del Potro,1988-09-23,,ARG,"Tandil, Argentina",198.0,97.0,R,2,True,2005.0,Sebastian Prieto,"US$ 25,889,586 12th all-time leader in earnings","DelPo, Tower of Tandil",Juan Martin Del Potro,12481 days,,,3.0,2018-08-13,6825.0,2009-09-14,,,3.0,2010-06-07,2331.0,2009-09-14,32.0,110.0,0.0,22,2,1,0,0,1,0
4526,Stan,Wawrinka,1985-03-28,,SUI,"Lausanne, Switzerland",183.0,81.0,R,1,True,2002.0,Daniel Vallverdu,"US$34,778,261 6th all-time leader in earnings","Stan the Man, Stanimal",Stan Wawrinka,13752 days,81.0,822.0,3.0,2014-01-27,6865.0,2015-11-23,18.0,2052.0,5.0,2014-02-17,2291.0,2014-04-20,34.0,104.0,0.0,16,4,3,0,0,1,0
4541,Jo Wilfried,Tsonga,1985-04-17,,FRA,"Le Mans, France",188.0,91.0,R,2,True,2004.0,Sergi Bruguera,"US$ 22,210,076 17th all-time leader in earnings",Muhammad Ali,Jo Wilfried Tsonga,13732 days,,,5.0,2012-02-27,5230.0,2012-06-11,49.0,1925.0,6.0,2009-03-02,2244.0,2012-01-09,53.0,71.0,0.0,18,2,0,0,0,2,0
5220,Marin,Cilic,1988-09-28,,CRO,"Medjugorje, BIH",198.0,82.0,R,2,True,2005.0,Ivan Cinkus,"US$28,955,865  10th all-time leader in earnings",,Marin Cilic,12476 days,30.0,1710.0,3.0,2018-01-29,5155.0,2017-07-31,24.0,2021.0,6.0,2014-09-08,2232.0,2014-09-19,54.0,70.0,0.0,20,2,1,0,0,1,0
4752,Richard,Gasquet,1986-06-18,,FRA,"Beziers, France",183.0,75.0,R,1,True,2002.0,Thierry Ascione,"US$18,996,030 29th all-time leader in earnings",,Richard Gasquet,13306 days,86.0,807.0,7.0,2007-07-09,3365.0,2013-04-22,57.0,1901.0,9.0,2007-10-08,2196.0,2016-02-08,92.0,38.0,0.0,15,0,0,0,0,0,0
3990,Tommy,Robredo,1982-05-01,,ESP,"Hostalric, Spain",180.0,75.0,R,1,True,1998.0,Jose Luis Aparisi,"US$13,454,039",,Tommy Robredo,14813 days,,,5.0,2006-08-28,2770.0,2009-02-23,,,10.0,2006-05-22,2107.0,2009-06-08,105.0,32.0,0.0,12,1,0,0,0,1,0
6219,Dominic,Thiem,1993-09-03,,AUT,"Wiener Neustadt, Austria",185.0,82.0,R,1,True,2011.0,Nicolas Massu,"US$28,861,766  11th all-time in earnings",Dominator,Dominic Thiem,10676 days,15.0,2425.0,3.0,2020-03-02,9125.0,2020-09-14,8.0,2141.0,4.0,2020-02-03,2250.0,2020-11-23,45.0,81.0,0.0,17,2,1,0,0,1,0
5442,Kei,Nishikori,1989-12-29,,JPN,"Shimane, Japan",178.0,77.0,R,2,True,2007.0,Max Mirnyi,"US$25,036,447  15th all-time leader in earnings",,Kei Nishikori,12016 days,48.0,1210.0,4.0,2015-03-02,6385.0,2015-08-17,14.0,2063.0,4.0,2016-09-12,2296.0,2016-08-15,55.0,70.0,0.0,12,0,0,0,0,0,0
6407,Daniil,Medvedev,1996-02-11,,RUS,"Moscow, Russia",198.0,83.0,R,2,True,2014.0,Gilles Cervara,"US$19,793,705",Bear,Daniil Medvedev,9782 days,2.0,7640.0,2.0,2021-03-15,10780.0,2021-09-13,3.0,2287.0,3.0,2021-09-13,2289.0,2021-02-22,48.0,77.0,0.0,13,6,1,1,0,4,0
