player_id,matches_won,matches_lost,grand_slam_matches_won,grand_slam_matches_lost,tour_finals_matches_won,tour_finals_matches_lost,alt_finals_matches_won,alt_finals_matches_lost,masters_matches_won,masters_matches_lost,olympics_matches_won,olympics_matches_lost,atp500_matches_won,atp500_matches_lost,atp250_matches_won,atp250_matches_lost,best_of_3_matches_won,best_of_3_matches_lost,best_of_5_matches_won,best_of_5_matches_lost,hard_matches_won,hard_matches_lost,clay_matches_won,clay_matches_lost,grass_matches_won,grass_matches_lost,carpet_matches_won,carpet_matches_lost,outdoor_matches_won,outdoor_matches_lost,indoor_matches_won,indoor_matches_lost,deciding_sets_won,deciding_sets_lost,fifth_sets_won,fifth_sets_lost,finals_won,finals_lost
184,15.0,21.0,0.0,1.0,,,,,,,,,0.0,1.0,6.0,11.0,6.0,12.0,9.0,9.0,1.0,5.0,7.0,9.0,0.0,2.0,7.0,5.0,7.0,11.0,8.0,10.0,5.0,1.0,3.0,0.0,1.0,0.0
87,564.0,224.0,93.0,21.0,4.0,4.0,3.0,6.0,113.0,41.0,,,114.0,56.0,223.0,89.0,403.0,168.0,161.0,56.0,168.0,59.0,126.0,52.0,164.0,46.0,104.0,66.0,440.0,145.0,124.0,79.0,129.0,67.0,29.0,13.0,41.0,30.0
753,1.0,5.0,1.0,1.0,,,,,,,,,0.0,1.0,0.0,3.0,0.0,4.0,1.0,1.0,1.0,2.0,0.0,3.0,,,,,1.0,5.0,,,1.0,3.0,1.0,0.0,,
652,117.0,179.0,16.0,28.0,,,,,9.0,24.0,,,11.0,20.0,68.0,91.0,90.0,137.0,27.0,42.0,35.0,50.0,63.0,101.0,8.0,12.0,9.0,16.0,108.0,154.0,9.0,25.0,39.0,59.0,7.0,14.0,0.0,1.0
477,103.0,127.0,13.0,15.0,,,,,12.0,16.0,,,12.0,20.0,61.0,71.0,89.0,110.0,14.0,17.0,26.0,27.0,46.0,68.0,5.0,9.0,26.0,23.0,68.0,95.0,35.0,32.0,33.0,33.0,3.0,4.0,1.0,3.0
273,280.0,266.0,43.0,38.0,,,,,23.0,29.0,,,20.0,25.0,192.0,168.0,233.0,218.0,47.0,48.0,66.0,74.0,79.0,74.0,84.0,62.0,51.0,56.0,217.0,196.0,63.0,70.0,93.0,71.0,10.0,7.0,3.0,8.0
550,8.0,18.0,2.0,3.0,,,,,,,,,,,6.0,15.0,6.0,15.0,2.0,3.0,0.0,3.0,2.0,5.0,6.0,9.0,0.0,1.0,8.0,15.0,0.0,3.0,3.0,7.0,0.0,1.0,,
394,86.0,108.0,2.0,8.0,,,,,8.0,10.0,,,3.0,11.0,71.0,76.0,82.0,97.0,4.0,11.0,6.0,11.0,77.0,84.0,1.0,5.0,1.0,7.0,81.0,93.0,5.0,15.0,35.0,31.0,0.0,2.0,2.0,1.0
51,52.0,70.0,8.0,11.0,,,,,1.0,5.0,,,2.0,9.0,27.0,35.0,27.0,47.0,25.0,23.0,1.0,9.0,8.0,16.0,28.0,29.0,1.0,9.0,51.0,60.0,1.0,10.0,10.0,14.0,2.0,2.0,0.0,1.0
272,370.0,199.0,42.0,26.0,,,0.0,1.0,53.0,43.0,,,66.0,36.0,208.0,92.0,322.0,166.0,48.0,33.0,134.0,65.0,45.0,29.0,54.0,32.0,137.0,73.0,187.0,112.0,183.0,87.0,108.0,78.0,12.0,6.0,12.0,12.0
781,15.0,30.0,1.0,1.0,,,,,,,,,0.0,1.0,9.0,23.0,10.0,25.0,5.0,5.0,4.0,7.0,9.0,19.0,1.0,1.0,1.0,3.0,11.0,23.0,4.0,7.0,6.0,7.0,4.0,2.0,,
70,49.0,74.0,8.0,15.0,,,,,2.0,3.0,,,0.0,3.0,34.0,49.0,30.0,44.0,19.0,30.0,13.0,21.0,23.0,37.0,9.0,12.0,4.0,4.0,37.0,58.0,12.0,16.0,12.0,17.0,3.0,3.0,,
190,28.0,54.0,5.0,7.0,,,,,0.0,6.0,,,2.0,8.0,21.0,33.0,23.0,46.0,5.0,8.0,1.0,4.0,19.0,40.0,8.0,7.0,0.0,3.0,28.0,51.0,0.0,3.0,10.0,17.0,1.0,0.0,,
758,2.0,3.0,,,,,,,,,,,0.0,1.0,2.0,2.0,2.0,3.0,,,0.0,1.0,0.0,1.0,2.0,1.0,,,2.0,3.0,,,1.0,1.0,,,,
539,1.0,2.0,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,2.0,,,1.0,2.0,,,,,,,1.0,2.0,,,1.0,0.0,,,,
554,1.0,4.0,,,,,,,0.0,1.0,,,,,1.0,3.0,1.0,4.0,,,0.0,2.0,,,,,1.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,,,,
278,39.0,67.0,3.0,7.0,,,,,3.0,6.0,,,1.0,6.0,32.0,48.0,34.0,54.0,5.0,13.0,3.0,6.0,26.0,47.0,4.0,6.0,6.0,8.0,33.0,58.0,6.0,9.0,14.0,16.0,2.0,2.0,0.0,1.0
406,8.0,27.0,0.0,2.0,,,,,2.0,3.0,,,1.0,5.0,5.0,16.0,7.0,24.0,1.0,3.0,2.0,8.0,6.0,11.0,0.0,5.0,0.0,3.0,7.0,23.0,1.0,4.0,3.0,3.0,,,,
176,166.0,229.0,6.0,19.0,,,,,9.0,15.0,,,13.0,20.0,116.0,160.0,132.0,182.0,34.0,47.0,31.0,41.0,103.0,145.0,5.0,17.0,10.0,21.0,141.0,179.0,25.0,50.0,61.0,62.0,8.0,8.0,1.0,1.0
309,545.0,269.0,59.0,31.0,4.0,12.0,0.0,3.0,116.0,58.0,,,113.0,55.0,231.0,99.0,456.0,215.0,89.0,54.0,175.0,90.0,230.0,89.0,50.0,27.0,90.0,62.0,427.0,187.0,118.0,82.0,130.0,88.0,7.0,8.0,19.0,20.0
292,33.0,84.0,3.0,10.0,,,,,2.0,3.0,,,2.0,9.0,25.0,62.0,31.0,76.0,2.0,8.0,8.0,11.0,19.0,57.0,1.0,4.0,5.0,12.0,28.0,69.0,5.0,15.0,11.0,27.0,0.0,1.0,,
509,1.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,1.0,0.0,,,,,,,,
663,54.0,88.0,8.0,16.0,,,,,8.0,14.0,,,6.0,12.0,32.0,46.0,46.0,71.0,8.0,17.0,29.0,43.0,13.0,21.0,7.0,13.0,5.0,11.0,43.0,71.0,11.0,17.0,22.0,35.0,0.0,3.0,,
770,7.0,18.0,0.0,1.0,,,,,,,,,0.0,1.0,7.0,16.0,7.0,17.0,0.0,1.0,3.0,8.0,0.0,4.0,1.0,3.0,3.0,3.0,4.0,15.0,3.0,3.0,3.0,7.0,,,,
271,82.0,114.0,13.0,20.0,,,,,3.0,6.0,,,1.0,6.0,65.0,82.0,69.0,92.0,13.0,22.0,3.0,9.0,66.0,80.0,6.0,17.0,7.0,8.0,72.0,101.0,10.0,13.0,26.0,32.0,2.0,3.0,0.0,2.0
22,269.0,165.0,32.0,12.0,,,4.0,6.0,61.0,44.0,,,59.0,41.0,113.0,62.0,207.0,128.0,62.0,37.0,74.0,52.0,66.0,35.0,50.0,24.0,79.0,54.0,177.0,99.0,92.0,66.0,71.0,52.0,5.0,9.0,6.0,16.0
156,23.0,53.0,2.0,10.0,,,,,0.0,1.0,,,2.0,5.0,18.0,35.0,18.0,40.0,5.0,13.0,8.0,14.0,9.0,18.0,5.0,16.0,0.0,3.0,20.0,44.0,3.0,9.0,7.0,18.0,1.0,2.0,,
417,212.0,144.0,24.0,15.0,,,,,13.0,14.0,,,20.0,19.0,129.0,87.0,168.0,125.0,44.0,19.0,3.0,12.0,195.0,122.0,1.0,2.0,5.0,7.0,206.0,136.0,6.0,8.0,60.0,50.0,8.0,4.0,4.0,2.0
764,42.0,67.0,3.0,4.0,,,,,1.0,6.0,,,3.0,6.0,35.0,51.0,39.0,63.0,3.0,4.0,1.0,2.0,41.0,65.0,,,,,41.0,66.0,1.0,1.0,15.0,21.0,,,,
556,5.0,11.0,0.0,2.0,,,,,,,,,2.0,1.0,3.0,8.0,5.0,9.0,0.0,2.0,3.0,6.0,2.0,2.0,0.0,3.0,,,5.0,9.0,0.0,2.0,2.0,2.0,,,,
641,9.0,13.0,,,,,,,0.0,1.0,,,0.0,3.0,0.0,1.0,4.0,7.0,5.0,6.0,2.0,3.0,7.0,7.0,,,0.0,3.0,9.0,9.0,0.0,4.0,5.0,3.0,2.0,1.0,,
