player_id,first_name,last_name,name,dob,country_id,height,weight,hand,backhand,active,turned_pro,prize_money,wikipedia,age,current_rank,current_rank_points,best_rank,best_rank_date,best_rank_points,best_rank_points_date,current_elo_rank,current_elo_rating,best_elo_rank,best_elo_rank_date,best_elo_rating,best_elo_rating_date,goat_rank,goat_points,weeks_at_no1,titles,big_titles,grand_slams,tour_finals,alt_finals,masters,olympics,player_id.1,matches_won,matches_lost,matches_win_percentage,grand_slam_matches_won,grand_slam_matches_lost,grand_slam_win_percentage,tour_finals_matches_won,tour_finals_matches_lost,tour_finals_win_percentage,alt_finals_matches_won,alt_finals_matches_lost,alt_finals_win_percentage,masters_matches_won,masters_matches_lost,masters_matches_win_percentage,olympics_matches_won,olympics_matches_lost,olympics_matches_win_percentage,atp500_matches_won,atp500_matches_lost,atp500_matches_win_percentage,atp250_matches_won,atp250_matches_lost,atp250_matches_win_percentage,davis_cup_matches_won,davis_cup_matches_lost,davis_cup_matches_win_percentage,team_cups_matches_won,team_cups_matches_lost,team_cups_matches_win_percentage,best_of_3_matches_won,best_of_3_matches_lost,best_of_3_matches_win_percentage,best_of_5_matches_won,best_of_5_matches_lost,best_of_5_matches_win_percentage,hard_matches_won,hard_matches_lost,hard_matches_win_percentage,clay_matches_won,clay_matches_lost,clay_matches_win_percentage,grass_matches_won,grass_matches_lost,grass_matches_win_percentage,carpet_matches_won,carpet_matches_lost,carpet_matches_win_percentage,outdoor_matches_won,outdoor_matches_lost,outdoor_matches_win_percentage,indoor_matches_won,indoor_matches_lost,indoor_matches_win_percentage,deciding_sets_won,deciding_sets_lost,deciding_sets_win_percentage,fifth_sets_won,fifth_sets_lost,fifth_sets_win_percentage,finals_won,finals_lost,finals_win_percentage,vs_no1_won,vs_no1_lost,vs_no1_win_percentage,vs_top5_won,vs_top5_lost,vs_top5_win_percentage,vs_top10_won,vs_top10_lost,vs_top10_win_percentage,after_winning_first_set_won,after_winning_first_set_lost,after_winning_first_set_win_percentage,after_losing_first_set_won,after_losing_first_set_lost,after_losing_first_set_win_percentage,tie_breaks_won,tie_breaks_lost,tie_breaks_win_percentage,deciding_set_tbs_won,deciding_set_tbs_lost,deciding_set_tbs_win_percentage,id,Rank,Move,Player name,Country,Points
644,Alexander,Zverev,Alexander Zverev,20/04/97,GER,198.0,86.0,R,2.0,t,2013.0,"US$26,797,250 12th all-time in earnings",https://en.wikipedia.org/wiki/Alexander_Zverev,25 years 6 mons 10 days,3.0,6540.0,3.0,06/11/17,8240.0,23/08/21,4.0,2270.0,4.0,22/08/21,2270.0,01/11/21,40.0,93,0,18,7,0,1,0,5,1,644.0,300.0,138.0,0.68,63.0,25.0,0.72,8.0,7.0,0.53,,,0.0,88.0,40.0,0.69,6.0,0.0,1.0,72.0,33.0,0.69,56.0,24.0,0.7,6.0,4.0,0.6,1.0,5.0,0.17,233.0,109.0,0.68,67.0,29.0,0.7,181.0,85.0,0.68,91.0,37.0,0.71,28.0,16.0,0.64,,,0.0,245.0,109.0,0.69,55.0,29.0,0.65,89.0,62.0,0.59,16.0,10.0,0.62,18.0,9.0,0.67,3.0,7.0,0.3,18.0,25.0,0.42,33.0,42.0,0.44,250.0,45.0,0.85,50.0,93.0,0.35,113.0,78.0,0.59,13.0,6.0,0.68,AlexanderZverev,12.0,-,Zverev Alexander,Germany,2700
3333,Ivo,Karlovic,Ivo Karlovic,28/02/79,CRO,211.0,,R,1.0,t,2000.0,"US$10,151,122",https://en.wikipedia.org/wiki/Ivo_Karlovic,43 years 8 mons 2 days,,,14.0,18/08/08,2295.0,12/01/09,125.0,1771.0,17.0,04/11/07,2061.0,04/11/07,144.0,22,0,8,0,0,0,0,0,0,3333.0,371.0,346.0,0.52,54.0,63.0,0.46,,,0.0,,,0.0,63.0,82.0,0.43,2.0,1.0,0.67,44.0,40.0,0.52,198.0,149.0,0.57,9.0,10.0,0.47,1.0,1.0,0.5,311.0,275.0,0.53,60.0,71.0,0.46,234.0,217.0,0.52,55.0,76.0,0.42,74.0,44.0,0.63,8.0,9.0,0.47,290.0,277.0,0.51,81.0,69.0,0.54,126.0,123.0,0.51,9.0,20.0,0.31,8.0,11.0,0.42,2.0,7.0,0.22,7.0,30.0,0.19,21.0,62.0,0.25,291.0,69.0,0.81,80.0,277.0,0.22,398.0,403.0,0.5,50.0,51.0,0.5,IvoKarlovic,,,,,
3819,Roger,Federer,Roger Federer,08/08/81,SUI,185.0,85.0,R,1.0,t,1998.0,"US$130,594,339 2nd all-time leader in earnings",https://en.wikipedia.org/wiki/Roger_Federer,41 years 2 mons 22 days,16.0,2385.0,1.0,02/02/04,12315.0,29/10/12,5.0,2258.0,1.0,11/08/03,2550.0,05/03/07,2.0,936,310,103,54,20,6,0,28,0,3819.0,1245.0,275.0,0.82,369.0,60.0,0.86,59.0,17.0,0.78,,,0.0,381.0,108.0,0.78,13.0,5.0,0.72,178.0,26.0,0.87,205.0,51.0,0.8,40.0,8.0,0.83,,,0.0,821.0,199.0,0.8,424.0,76.0,0.85,776.0,156.0,0.83,226.0,71.0,0.76,192.0,29.0,0.87,50.0,19.0,0.72,976.0,207.0,0.83,269.0,68.0,0.8,232.0,128.0,0.64,31.0,23.0,0.57,103.0,53.0,0.66,10.0,20.0,0.33,104.0,75.0,0.58,223.0,123.0,0.64,1108.0,81.0,0.93,137.0,194.0,0.41,463.0,246.0,0.65,36.0,28.0,0.56,FedererRoger,,,,,
3852,Feliciano,Lopez,Feliciano Lopez,20/09/81,ESP,188.0,,L,1.0,t,1997.0,"US$18,179,330  30th all-time leader in earnings",https://en.wikipedia.org/wiki/Feliciano_Lopez,41 years 1 mon 10 days,,,12.0,02/03/15,2415.0,23/03/15,137.0,1751.0,16.0,12/10/14,2074.0,12/10/14,139.0,23,0,7,0,0,0,0,0,0,3852.0,502.0,475.0,0.51,98.0,79.0,0.55,,,0.0,,,0.0,116.0,139.0,0.45,4.0,2.0,0.67,104.0,89.0,0.54,171.0,153.0,0.53,7.0,9.0,0.44,2.0,4.0,0.33,398.0,393.0,0.5,104.0,82.0,0.56,274.0,276.0,0.5,131.0,139.0,0.49,85.0,47.0,0.64,11.0,12.0,0.48,420.0,383.0,0.52,82.0,92.0,0.47,187.0,158.0,0.54,24.0,12.0,0.67,7.0,11.0,0.39,2.0,12.0,0.14,13.0,57.0,0.19,38.0,97.0,0.28,382.0,99.0,0.79,119.0,376.0,0.24,323.0,276.0,0.54,29.0,30.0,0.49,FelicianoLopez,662.0,5,Lopez Feliciano,Spain,38
3893,Paolo,Lorenzi,Paolo Lorenzi,15/12/81,ITA,183.0,,R,2.0,t,2003.0,"$5,175,934",https://en.wikipedia.org/wiki/Paolo_Lorenzi,40 years 10 mons 15 days,,,33.0,15/05/17,1223.0,17/07/17,,,64.0,31/10/16,1896.0,11/09/17,510.0,1,0,1,0,0,0,0,0,0,3893.0,110.0,185.0,0.37,14.0,33.0,0.3,,,0.0,,,0.0,12.0,29.0,0.29,1.0,1.0,0.5,8.0,18.0,0.31,70.0,100.0,0.41,5.0,4.0,0.56,,,0.0,94.0,148.0,0.39,16.0,37.0,0.3,45.0,81.0,0.36,60.0,83.0,0.42,5.0,21.0,0.19,,,0.0,91.0,161.0,0.36,19.0,24.0,0.44,42.0,48.0,0.47,4.0,7.0,0.36,1.0,3.0,0.25,0.0,2.0,0.0,0.0,13.0,0.0,0.0,19.0,0.0,80.0,29.0,0.73,30.0,156.0,0.16,55.0,72.0,0.43,5.0,7.0,0.42,LorenziPaolo,,,,,
3917,Nicolas,Mahut,Nicolas Mahut,21/01/82,FRA,191.0,,R,1.0,t,2000.0,"US$ 11,540,500",https://en.wikipedia.org/wiki/Nicolas_Mahut,40 years 9 mons 9 days,,,37.0,05/05/14,1122.0,09/01/17,,,35.0,10/10/16,1970.0,23/09/13,340.0,4,0,4,0,0,0,0,0,0,3917.0,181.0,225.0,0.45,31.0,51.0,0.38,,,0.0,,,0.0,24.0,48.0,0.33,,,0.0,9.0,15.0,0.38,115.0,109.0,0.51,1.0,2.0,0.33,1.0,0.0,1.0,150.0,174.0,0.46,31.0,51.0,0.38,94.0,134.0,0.41,17.0,39.0,0.3,67.0,41.0,0.62,3.0,11.0,0.21,132.0,159.0,0.45,49.0,66.0,0.43,54.0,58.0,0.48,6.0,8.0,0.43,4.0,2.0,0.67,0.0,4.0,0.0,2.0,18.0,0.1,5.0,39.0,0.11,150.0,26.0,0.85,31.0,199.0,0.13,92.0,122.0,0.43,11.0,12.0,0.48,MahutNicolas,,,,,
3990,Tommy,Robredo,Tommy Robredo,01/05/82,ESP,180.0,75.0,R,1.0,t,1998.0,"US$13,454,039",https://en.wikipedia.org/wiki/Tommy_Robredo,40 years 5 mons 29 days,,,5.0,28/08/06,2770.0,23/02/09,,,10.0,22/05/06,2107.0,08/06/09,105.0,32,0,12,1,0,0,0,1,0,3990.0,533.0,357.0,0.6,107.0,58.0,0.65,1.0,2.0,0.33,,,0.0,135.0,103.0,0.57,2.0,2.0,0.5,76.0,68.0,0.53,204.0,115.0,0.64,6.0,8.0,0.43,2.0,1.0,0.67,421.0,291.0,0.59,112.0,66.0,0.63,228.0,182.0,0.56,261.0,132.0,0.66,30.0,25.0,0.55,14.0,18.0,0.44,475.0,294.0,0.62,58.0,63.0,0.48,170.0,107.0,0.61,17.0,5.0,0.77,12.0,11.0,0.52,2.0,7.0,0.22,10.0,50.0,0.17,22.0,90.0,0.2,420.0,58.0,0.88,113.0,299.0,0.27,186.0,150.0,0.55,23.0,15.0,0.61,RobredoTommy,1031.0,3,Robredo Tommy,Spain,9
4229,Yen Hsun,Lu,Yen Hsun Lu,14/08/83,TPE,180.0,,R,2.0,t,2001.0,"$5,114,400",https://en.wikipedia.org/wiki/Yen_Hsun_Lu,39 years 2 mons 16 days,,,33.0,01/11/10,1244.0,05/01/09,178.0,1683.0,50.0,24/08/14,1922.0,24/08/14,617.0,1,0,0,0,0,0,0,0,0,4229.0,162.0,231.0,0.41,23.0,50.0,0.32,,,0.0,,,0.0,27.0,41.0,0.4,2.0,5.0,0.29,15.0,34.0,0.31,78.0,93.0,0.46,17.0,8.0,0.68,,,0.0,122.0,174.0,0.41,40.0,57.0,0.41,125.0,172.0,0.42,6.0,20.0,0.23,28.0,37.0,0.43,3.0,2.0,0.6,146.0,201.0,0.42,16.0,30.0,0.35,36.0,65.0,0.36,9.0,8.0,0.53,0.0,1.0,0.0,0.0,2.0,0.0,4.0,16.0,0.2,7.0,30.0,0.19,139.0,44.0,0.76,23.0,187.0,0.11,82.0,76.0,0.52,6.0,9.0,0.4,HsunLuYen,,,,,
4259,Philipp,Kohlschreiber,Philipp Kohlschreiber,16/10/83,GER,178.0,,R,1.0,t,2001.0,"$13,531,727 50th all-time leader in earnings",https://en.wikipedia.org/wiki/Philipp_Kohlschreiber,39 years 14 days,,,16.0,30/07/12,2160.0,05/01/09,72.0,1873.0,14.0,02/05/16,2117.0,02/05/16,223.0,9,0,8,0,0,0,0,0,0,4259.0,477.0,385.0,0.55,76.0,66.0,0.54,,,0.0,,,0.0,87.0,89.0,0.49,1.0,1.0,0.5,73.0,73.0,0.5,207.0,131.0,0.61,20.0,15.0,0.57,13.0,10.0,0.57,387.0,309.0,0.56,90.0,76.0,0.54,233.0,200.0,0.54,178.0,138.0,0.56,60.0,40.0,0.6,5.0,6.0,0.45,400.0,311.0,0.56,77.0,74.0,0.51,134.0,124.0,0.52,16.0,13.0,0.55,8.0,10.0,0.44,1.0,15.0,0.06,11.0,59.0,0.16,25.0,103.0,0.2,405.0,76.0,0.84,70.0,308.0,0.19,193.0,194.0,0.5,25.0,22.0,0.53,KohlschreiberPhilipp,419.0,3,Kohlschreiber Philipp,Germany,106
4269,Fernando,Verdasco,Fernando Verdasco,15/11/83,ESP,188.0,,L,2.0,t,2001.0,"US$17,909,872 31th all-time leader in earnings",https://en.wikipedia.org/wiki/Fernando_Verdasco,38 years 11 mons 15 days,,,7.0,20/04/09,3900.0,11/05/09,87.0,1841.0,7.0,04/05/09,2204.0,02/05/10,139.0,23,0,7,0,0,0,0,0,0,4269.0,554.0,431.0,0.56,113.0,69.0,0.62,0.0,3.0,0.0,,,0.0,128.0,129.0,0.5,0.0,1.0,0.0,93.0,74.0,0.56,210.0,149.0,0.58,9.0,5.0,0.64,1.0,1.0,0.5,436.0,356.0,0.55,118.0,75.0,0.61,262.0,228.0,0.53,232.0,152.0,0.6,51.0,43.0,0.54,9.0,8.0,0.53,472.0,352.0,0.57,82.0,79.0,0.51,177.0,175.0,0.5,25.0,23.0,0.52,7.0,16.0,0.3,0.0,12.0,0.0,15.0,64.0,0.19,28.0,108.0,0.21,434.0,96.0,0.82,120.0,335.0,0.26,214.0,224.0,0.49,15.0,26.0,0.37,FernandoVerdasco,124.0,-,Verdasco Fernando,Spain,460
