,table_catalog,table_schema,table_name,table_type
0,tcb,tcb,grand_slam_goat_points,BASE TABLE
1,tcb,tcb,best_elo_rating_goat_points,BASE TABLE
2,tcb,tcb,best_in_match_elo_rating_goat_points,BASE TABLE
3,tcb,tcb,best_indoor_elo_rating_goat_points,BASE TABLE
4,tcb,tcb,best_rank_goat_points,BASE TABLE
5,tcb,tcb,best_season_goat_points,BASE TABLE
6,tcb,tcb,best_surface_elo_rating_goat_points,BASE TABLE
7,tcb,tcb,big_win_match_factor,BASE TABLE
8,tcb,tcb,big_win_rank_factor,BASE TABLE
9,tcb,tcb,match_stats,BASE TABLE
10,tcb,tcb,featured_content,BASE TABLE
11,tcb,tcb,tournament_event_rank_factor,BASE TABLE
12,tcb,tcb,tournament_event,BASE TABLE
13,tcb,tcb,event_stats_v,VIEW
14,tcb,pg_catalog,pg_type,BASE TABLE
15,tcb,tcb,event_participation_v,VIEW
16,tcb,tcb,player_season_surface_stats_v,VIEW
17,tcb,tcb,match_for_stats_v,VIEW
18,tcb,tcb,match,BASE TABLE
19,tcb,tcb,player_match_stats_v,VIEW
20,tcb,tcb,player_season_stats_v,VIEW
21,tcb,tcb,greatest_rivalries_goat_points,BASE TABLE
22,tcb,tcb,h2h_rank_factor,BASE TABLE
23,tcb,tcb,active_player_record,BASE TABLE
24,tcb,tcb,in_progress_match_stats,BASE TABLE
25,tcb,tcb,in_progress_event,BASE TABLE
26,tcb,tcb,player,BASE TABLE
27,tcb,tcb,in_progress_event_participation_v,VIEW
28,tcb,pg_catalog,pg_foreign_table,BASE TABLE
29,tcb,tcb,in_progress_match_for_stats_v,VIEW
30,tcb,tcb,match_for_rivalry_v,VIEW
31,tcb,tcb,in_progress_match,BASE TABLE
32,tcb,tcb,player_ranking,BASE TABLE
33,tcb,tcb,performance_goat_points,BASE TABLE
34,tcb,tcb,match_price_v,VIEW
35,tcb,tcb,player_best_rank_v,VIEW
36,tcb,tcb,no1_player_ranking_v,VIEW
37,tcb,tcb,match_price,BASE TABLE
38,tcb,tcb,performance_category,BASE TABLE
39,tcb,pg_catalog,pg_roles,VIEW
40,tcb,tcb,player_best_of_win_streak_v,VIEW
41,tcb,tcb,tournament_rank_points,BASE TABLE
42,tcb,tcb,weeks_at_elo_topn_goat_points,BASE TABLE
43,tcb,tcb,weeks_at_no1_goat_points,BASE TABLE
44,tcb,pg_catalog,pg_settings,VIEW
45,tcb,tcb,player_best_elo_rank_v,VIEW
46,tcb,tcb,player_season_weeks_at_elo_topn_v,VIEW
47,tcb,tcb,player_best_elo_rating_v,VIEW
48,tcb,tcb,player_tournament_event_result_v,VIEW
49,tcb,tcb,player_best_elo_rating_goat_points_date_v,VIEW
50,tcb,tcb,player_best_rank_points_v,VIEW
51,tcb,tcb,player_best_elo_rating_goat_points_v,VIEW
52,tcb,tcb,player_match_for_stats_v,VIEW
53,tcb,tcb,player_alias,BASE TABLE
54,tcb,tcb,player_big_wins_v,VIEW
55,tcb,tcb,player_season_big_wins_goat_points_v,VIEW
56,tcb,tcb,year_end_rank_goat_points,BASE TABLE
57,tcb,tcb,player_season_weeks_at_elo_topn_goat_points_v,VIEW
58,tcb,tcb,player_season_grand_slam_goat_points_v,VIEW
59,tcb,tcb,topn_player_elo_ranking_v,VIEW
60,tcb,tcb,player_elo_ranking,BASE TABLE
61,tcb,tcb,player_season_weeks_at_no1_v,VIEW
62,tcb,tcb,player_season_weeks_at_no1_goat_points_v,VIEW
63,tcb,tcb,player_year_end_rank_v,VIEW
64,tcb,tcb,player_season_goat_points_v,VIEW
65,tcb,pg_catalog,pg_available_extension_versions,VIEW
66,tcb,tcb,player_best_season_v,VIEW
67,tcb,tcb,player_best_season_goat_points_v,VIEW
68,tcb,tcb,player_best_surface_elo_rating_goat_points_v,VIEW
69,tcb,pg_catalog,pg_stat_xact_user_functions,VIEW
70,tcb,pg_catalog,pg_subscription,BASE TABLE
71,tcb,pg_catalog,pg_attribute,BASE TABLE
72,tcb,pg_catalog,pg_proc,BASE TABLE
73,tcb,pg_catalog,pg_class,BASE TABLE
74,tcb,pg_catalog,pg_attrdef,BASE TABLE
75,tcb,pg_catalog,pg_constraint,BASE TABLE
76,tcb,pg_catalog,pg_inherits,BASE TABLE
77,tcb,pg_catalog,pg_index,BASE TABLE
78,tcb,pg_catalog,pg_operator,BASE TABLE
79,tcb,pg_catalog,pg_opfamily,BASE TABLE
80,tcb,pg_catalog,pg_opclass,BASE TABLE
81,tcb,pg_catalog,pg_am,BASE TABLE
82,tcb,pg_catalog,pg_amop,BASE TABLE
83,tcb,pg_catalog,pg_amproc,BASE TABLE
84,tcb,pg_catalog,pg_language,BASE TABLE
85,tcb,pg_catalog,pg_stat_archiver,VIEW
86,tcb,pg_catalog,pg_stat_bgwriter,VIEW
87,tcb,pg_catalog,pg_stat_wal,VIEW
88,tcb,pg_catalog,pg_stat_progress_analyze,VIEW
89,tcb,pg_catalog,pg_stat_progress_vacuum,VIEW
90,tcb,pg_catalog,pg_stat_progress_cluster,VIEW
91,tcb,pg_catalog,pg_stat_progress_create_index,VIEW
92,tcb,pg_catalog,pg_stat_progress_basebackup,VIEW
93,tcb,pg_catalog,pg_stat_progress_copy,VIEW
94,tcb,tcb,player_big_wins_goat_points_v,VIEW
95,tcb,tcb,player_career_grand_slam_goat_points_v,VIEW
96,tcb,tcb,player_consecutive_grand_slam_on_same_event_goat_points_v,VIEW
97,tcb,tcb,player_current_elo_rank_v,VIEW
98,tcb,pg_catalog,pg_largeobject_metadata,BASE TABLE
99,tcb,pg_catalog,pg_aggregate,BASE TABLE
100,tcb,pg_catalog,pg_statistic_ext,BASE TABLE
101,tcb,pg_catalog,pg_rewrite,BASE TABLE
102,tcb,pg_catalog,pg_trigger,BASE TABLE
103,tcb,pg_catalog,pg_event_trigger,BASE TABLE
104,tcb,pg_catalog,pg_description,BASE TABLE
105,tcb,pg_catalog,pg_cast,BASE TABLE
106,tcb,pg_catalog,pg_enum,BASE TABLE
107,tcb,pg_catalog,pg_namespace,BASE TABLE
108,tcb,pg_catalog,pg_conversion,BASE TABLE
109,tcb,pg_catalog,pg_depend,BASE TABLE
110,tcb,pg_catalog,pg_database,BASE TABLE
111,tcb,pg_catalog,pg_db_role_setting,BASE TABLE
112,tcb,pg_catalog,pg_tablespace,BASE TABLE
113,tcb,pg_catalog,pg_auth_members,BASE TABLE
114,tcb,pg_catalog,pg_shdepend,BASE TABLE
